EMP,ESTAB,old_naics,state,county,NAICS2012
11591,935,00,48,001,00
0,2,11,48,001,11
0,2,113,48,001,113
0,1,1131,48,001,1131
0,1,11311,48,001,11311
0,1,113110,48,001,113110
0,1,1133,48,001,1133
0,1,11331,48,001,11331
0,1,113310,48,001,113310
526,24,21,48,001,21
0,2,211,48,001,211
0,2,2111,48,001,2111
0,2,21111,48,001,21111
0,2,211111,48,001,211111
0,22,213,48,001,213
0,22,2131,48,001,2131
0,22,21311,48,001,21311
0,6,213111,48,001,213111
272,16,213112,48,001,213112
99,20,22,48,001,22
99,20,221,48,001,221
0,4,2211,48,001,2211
0,1,22111,48,001,22111
0,1,221112,48,001,221112
0,3,22112,48,001,22112
0,3,221122,48,001,221122
0,3,2212,48,001,2212
0,3,22121,48,001,22121
0,3,221210,48,001,221210
0,13,2213,48,001,2213
0,13,22131,48,001,22131
0,13,221310,48,001,221310
552,65,23,48,001,23
30,14,236,48,001,236
18,8,2361,48,001,2361
18,8,23611,48,001,23611
0,7,236115,48,001,236115
0,1,236118,48,001,236118
12,6,2362,48,001,2362
0,1,23621,48,001,23621
0,1,236210,48,001,236210
0,5,23622,48,001,23622
0,5,236220,48,001,236220
148,8,237,48,001,237
0,2,2371,48,001,2371
0,1,23711,48,001,23711
0,1,237110,48,001,237110
0,1,23713,48,001,23713
0,1,237130,48,001,237130
0,2,2372,48,001,2372
0,2,23721,48,001,23721
0,2,237210,48,001,237210
0,3,2373,48,001,2373
0,3,23731,48,001,23731
0,3,237310,48,001,237310
0,1,2379,48,001,2379
0,1,23799,48,001,23799
0,1,237990,48,001,237990
374,43,238,48,001,238
10,3,2381,48,001,2381
0,2,23811,48,001,23811
0,2,238110,48,001,238110
0,1,23815,48,001,23815
0,1,238150,48,001,238150
140,23,2382,48,001,2382
0,7,23821,48,001,23821
0,7,238210,48,001,238210
51,14,23822,48,001,23822
51,14,238220,48,001,238220
0,2,23829,48,001,23829
0,2,238290,48,001,238290
7,3,2383,48,001,2383
0,1,23831,48,001,23831
0,1,238310,48,001,238310
0,2,23832,48,001,23832
0,2,238320,48,001,238320
217,14,2389,48,001,2389
195,11,23891,48,001,23891
195,11,238910,48,001,238910
22,3,23899,48,001,23899
22,3,238990,48,001,238990
294,25,31,48,001,31-33
0,1,311,48,001,311
0,1,3118,48,001,3118
0,1,31181,48,001,31181
0,1,311811,48,001,311811
0,1,312,48,001,312
0,1,3121,48,001,3121
0,1,31211,48,001,31211
0,1,312113,48,001,312113
0,2,315,48,001,315
0,1,3152,48,001,3152
0,1,31523,48,001,31523
0,1,315239,48,001,315239
0,1,3159,48,001,3159
0,1,31599,48,001,31599
0,1,315991,48,001,315991
0,3,321,48,001,321
0,1,3211,48,001,3211
0,1,32111,48,001,32111
0,1,321113,48,001,321113
0,2,3219,48,001,3219
0,1,32191,48,001,32191
0,1,321912,48,001,321912
0,1,32199,48,001,32199
0,1,321999,48,001,321999
0,2,322,48,001,322
0,2,3222,48,001,3222
0,1,32221,48,001,32221
0,1,322213,48,001,322213
0,1,32223,48,001,32223
0,1,322233,48,001,322233
11,4,323,48,001,323
11,4,3231,48,001,3231
11,4,32311,48,001,32311
0,3,323110,48,001,323110
0,1,323113,48,001,323113
0,1,324,48,001,324
0,1,3241,48,001,3241
0,1,32419,48,001,32419
0,1,324191,48,001,324191
0,1,325,48,001,325
0,1,3254,48,001,3254
0,1,32541,48,001,32541
0,1,325411,48,001,325411
0,2,327,48,001,327
0,2,3273,48,001,3273
0,1,32732,48,001,32732
0,1,327320,48,001,327320
0,1,32733,48,001,32733
0,1,327331,48,001,327331
0,6,332,48,001,332
0,2,3323,48,001,3323
0,1,33231,48,001,33231
0,1,332312,48,001,332312
0,1,33232,48,001,33232
